circuit_id,circuit_type,num_qubits,bug_type,system_name,pass_at_1,pass_at_3,iterations_used,physics_validity,gate_count_reduction,depth_reduction,final_status
circuit_0001,ghz,3,syntax,physics_constrained_agent,1,1,1,1,2,2,PASS
circuit_0001,ghz,3,syntax,QBugLM_unconstrained,1,1,1,1,2,2,PASS
circuit_0001,ghz,3,syntax,PyZX_heuristic,0,0,1,0,0,0,FAIL
circuit_0002,ghz,3,structural,physics_constrained_agent,1,1,1,1,0,0,PASS
circuit_0002,ghz,3,structural,QBugLM_unconstrained,0,0,1,1,0,0,FAIL
circuit_0002,ghz,3,structural,PyZX_heuristic,0,0,1,1,-2,-1,FAIL
circuit_0003,ghz,5,gate_redundancy,physics_constrained_agent,1,1,1,1,2,0,PASS
circuit_0003,ghz,5,gate_redundancy,QBugLM_unconstrained,1,1,1,1,2,0,PASS
circuit_0003,ghz,5,gate_redundancy,PyZX_heuristic,1,1,1,1,-6,-4,PASS
circuit_0004,ghz,4,semantic_deviation,physics_constrained_agent,1,1,1,1,0,0,PASS
circuit_0004,ghz,4,semantic_deviation,QBugLM_unconstrained,0,0,1,1,0,0,FAIL
circuit_0004,ghz,4,semantic_deviation,PyZX_heuristic,0,0,1,1,-8,-5,FAIL
circuit_0005,ghz,4,physics_violation,physics_constrained_agent,1,1,1,1,1,0,PASS
circuit_0005,ghz,4,physics_violation,QBugLM_unconstrained,0,0,1,0,1,0,FAIL
circuit_0005,ghz,4,physics_violation,PyZX_heuristic,0,0,1,0,0,0,FAIL
circuit_0006,ghz,4,syntax,physics_constrained_agent,1,1,1,1,2,2,PASS
circuit_0006,ghz,4,syntax,QBugLM_unconstrained,0,0,1,0,0,0,FAIL
circuit_0006,ghz,4,syntax,PyZX_heuristic,0,0,1,0,0,0,FAIL
circuit_0007,ghz,3,structural,physics_constrained_agent,1,1,1,1,-1,-2,PASS
circuit_0007,ghz,3,structural,QBugLM_unconstrained,0,0,1,1,0,0,FAIL
circuit_0007,ghz,3,structural,PyZX_heuristic,0,0,1,1,-2,-2,FAIL
circuit_0008,ghz,7,gate_redundancy,physics_constrained_agent,1,1,1,1,2,0,PASS
circuit_0008,ghz,7,gate_redundancy,QBugLM_unconstrained,1,1,1,1,2,0,PASS
circuit_0008,ghz,7,gate_redundancy,PyZX_heuristic,1,1,1,1,-10,-6,PASS
circuit_0009,ghz,3,semantic_deviation,physics_constrained_agent,1,1,1,1,0,0,PASS
circuit_0009,ghz,3,semantic_deviation,QBugLM_unconstrained,0,0,1,1,0,0,FAIL
circuit_0009,ghz,3,semantic_deviation,PyZX_heuristic,0,0,1,1,-6,-4,FAIL
circuit_0010,ghz,7,physics_violation,physics_constrained_agent,1,1,1,1,1,0,PASS
circuit_0010,ghz,7,physics_violation,QBugLM_unconstrained,0,0,1,0,1,0,FAIL
circuit_0010,ghz,7,physics_violation,PyZX_heuristic,0,0,1,0,0,0,FAIL
circuit_0011,ghz,6,syntax,physics_constrained_agent,1,1,1,1,2,2,PASS
circuit_0011,ghz,6,syntax,QBugLM_unconstrained,1,1,1,1,2,2,PASS
circuit_0011,ghz,6,syntax,PyZX_heuristic,0,0,1,0,0,0,FAIL
circuit_0012,ghz,3,structural,physics_constrained_agent,1,1,1,1,-1,-2,PASS
circuit_0012,ghz,3,structural,QBugLM_unconstrained,0,0,1,1,0,0,FAIL
circuit_0012,ghz,3,structural,PyZX_heuristic,0,0,1,1,-2,-2,FAIL
circuit_0013,ghz,3,gate_redundancy,physics_constrained_agent,1,1,1,1,2,2,PASS
circuit_0013,ghz,3,gate_redundancy,QBugLM_unconstrained,1,1,1,1,2,2,PASS
circuit_0013,ghz,3,gate_redundancy,PyZX_heuristic,1,1,1,1,-2,0,PASS
circuit_0014,ghz,3,semantic_deviation,physics_constrained_agent,1,1,1,1,0,0,PASS
circuit_0014,ghz,3,semantic_deviation,QBugLM_unconstrained,0,0,1,1,0,0,FAIL
circuit_0014,ghz,3,semantic_deviation,PyZX_heuristic,0,0,1,1,-6,-4,FAIL
circuit_0015,ghz,4,physics_violation,physics_constrained_agent,0,1,2,1,1,1,PASS
circuit_0015,ghz,4,physics_violation,QBugLM_unconstrained,0,0,1,0,-2,-1,FAIL
circuit_0015,ghz,4,physics_violation,PyZX_heuristic,0,0,1,0,-7,-2,FAIL
circuit_0016,ghz,4,syntax,physics_constrained_agent,1,1,1,1,2,2,PASS
circuit_0016,ghz,4,syntax,QBugLM_unconstrained,1,1,1,1,2,2,PASS
circuit_0016,ghz,4,syntax,PyZX_heuristic,0,0,1,0,0,0,FAIL
circuit_0017,ghz,7,structural,physics_constrained_agent,1,1,1,1,-1,-1,PASS
circuit_0017,ghz,7,structural,QBugLM_unconstrained,0,0,1,1,0,0,FAIL
circuit_0017,ghz,7,structural,PyZX_heuristic,0,0,1,1,-14,-8,FAIL
circuit_0018,ghz,7,gate_redundancy,physics_constrained_agent,1,1,1,1,2,0,PASS
circuit_0018,ghz,7,gate_redundancy,QBugLM_unconstrained,1,1,1,1,2,0,PASS
circuit_0018,ghz,7,gate_redundancy,PyZX_heuristic,1,1,1,1,-10,-6,PASS
circuit_0019,ghz,3,semantic_deviation,physics_constrained_agent,1,1,1,1,0,0,PASS
circuit_0019,ghz,3,semantic_deviation,QBugLM_unconstrained,0,0,1,1,0,0,FAIL
circuit_0019,ghz,3,semantic_deviation,PyZX_heuristic,0,0,1,1,-6,-4,FAIL
circuit_0020,ghz,7,physics_violation,physics_constrained_agent,0,1,2,1,1,0,PASS
circuit_0020,ghz,7,physics_violation,QBugLM_unconstrained,0,0,1,0,-2,0,FAIL
circuit_0020,ghz,7,physics_violation,PyZX_heuristic,0,0,1,0,-13,-8,FAIL
circuit_0021,ghz,4,syntax,physics_constrained_agent,1,1,1,1,2,2,PASS
circuit_0021,ghz,4,syntax,QBugLM_unconstrained,1,1,1,1,2,2,PASS
circuit_0021,ghz,4,syntax,PyZX_heuristic,0,0,1,0,0,0,FAIL
circuit_0022,ghz,7,structural,physics_constrained_agent,1,1,1,1,0,0,PASS
circuit_0022,ghz,7,structural,QBugLM_unconstrained,0,0,1,1,0,0,FAIL
circuit_0022,ghz,7,structural,PyZX_heuristic,0,0,1,1,-12,-5,FAIL
circuit_0023,ghz,6,gate_redundancy,physics_constrained_agent,1,1,1,1,2,0,PASS
circuit_0023,ghz,6,gate_redundancy,QBugLM_unconstrained,1,1,1,1,2,0,PASS
circuit_0023,ghz,6,gate_redundancy,PyZX_heuristic,1,1,1,1,-8,-5,PASS
circuit_0024,ghz,4,semantic_deviation,physics_constrained_agent,1,1,1,1,0,0,PASS
circuit_0024,ghz,4,semantic_deviation,QBugLM_unconstrained,0,0,1,1,0,0,FAIL
circuit_0024,ghz,4,semantic_deviation,PyZX_heuristic,0,0,1,1,-8,-5,FAIL
circuit_0025,ghz,6,physics_violation,physics_constrained_agent,0,1,2,1,1,0,PASS
circuit_0025,ghz,6,physics_violation,QBugLM_unconstrained,0,0,1,0,-2,0,FAIL
circuit_0025,ghz,6,physics_violation,PyZX_heuristic,0,0,1,0,0,0,FAIL
circuit_0026,ghz,7,syntax,physics_constrained_agent,1,1,1,1,2,2,PASS
circuit_0026,ghz,7,syntax,QBugLM_unconstrained,1,1,1,1,2,2,PASS
circuit_0026,ghz,7,syntax,PyZX_heuristic,0,0,1,0,0,0,FAIL
circuit_0027,ghz,5,structural,physics_constrained_agent,1,1,1,1,0,0,PASS
circuit_0027,ghz,5,structural,QBugLM_unconstrained,0,0,1,1,0,0,FAIL
circuit_0027,ghz,5,structural,PyZX_heuristic,0,0,1,1,-8,-5,FAIL
circuit_0028,ghz,3,gate_redundancy,physics_constrained_agent,1,1,1,1,2,0,PASS
circuit_0028,ghz,3,gate_redundancy,QBugLM_unconstrained,1,1,1,1,2,0,PASS
circuit_0028,ghz,3,gate_redundancy,PyZX_heuristic,1,1,1,1,-2,-2,PASS
circuit_0029,ghz,4,semantic_deviation,physics_constrained_agent,1,1,1,1,0,0,PASS
circuit_0029,ghz,4,semantic_deviation,QBugLM_unconstrained,0,0,1,1,0,0,FAIL
circuit_0029,ghz,4,semantic_deviation,PyZX_heuristic,0,0,1,1,-8,-5,FAIL
circuit_0030,ghz,6,physics_violation,physics_constrained_agent,0,1,2,1,1,0,PASS
circuit_0030,ghz,6,physics_violation,QBugLM_unconstrained,0,0,1,0,-2,0,FAIL
circuit_0030,ghz,6,physics_violation,PyZX_heuristic,0,0,1,0,0,0,FAIL
circuit_0031,ghz,5,syntax,physics_constrained_agent,1,1,1,1,2,2,PASS
circuit_0031,ghz,5,syntax,QBugLM_unconstrained,0,0,1,0,0,0,FAIL
circuit_0031,ghz,5,syntax,PyZX_heuristic,0,0,1,0,0,0,FAIL
circuit_0032,ghz,5,structural,physics_constrained_agent,1,1,1,1,0,0,PASS
circuit_0032,ghz,5,structural,QBugLM_unconstrained,0,0,1,1,0,0,FAIL
