circuit_id,circuit_type,num_qubits,bug_type,valid_file,buggy_file,ground_truth_file,bug_description
circuit_0001,ghz,3,syntax,data/valid/circuit_0001_valid.qasm,data/buggy/circuit_0001_buggy.qasm,data/ground_truth/circuit_0001_ground_truth.qasm,Syntax error: missing semicolon on line 3
circuit_0002,ghz,3,structural,data/valid/circuit_0002_valid.qasm,data/buggy/circuit_0002_buggy.qasm,data/ground_truth/circuit_0002_ground_truth.qasm,Structural error: reversed control and target qubits on cx gate
circuit_0003,ghz,5,gate_redundancy,data/valid/circuit_0003_valid.qasm,data/buggy/circuit_0003_buggy.qasm,data/ground_truth/circuit_0003_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling H gates on qubit 3
circuit_0004,ghz,4,semantic_deviation,data/valid/circuit_0004_valid.qasm,data/buggy/circuit_0004_buggy.qasm,data/ground_truth/circuit_0004_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0005,ghz,4,physics_violation,data/valid/circuit_0005_valid.qasm,data/buggy/circuit_0005_buggy.qasm,data/ground_truth/circuit_0005_ground_truth.qasm,Physics violation: uncalibrated gate delay of 1200us exceeds qubit T2 coherence limit (~150us)
circuit_0006,ghz,4,syntax,data/valid/circuit_0006_valid.qasm,data/buggy/circuit_0006_buggy.qasm,data/ground_truth/circuit_0006_ground_truth.qasm,Syntax error: unclosed bracket on line 3
circuit_0007,ghz,3,structural,data/valid/circuit_0007_valid.qasm,data/buggy/circuit_0007_buggy.qasm,data/ground_truth/circuit_0007_ground_truth.qasm,Structural error: omitted cx gate at instruction index 1
circuit_0008,ghz,7,gate_redundancy,data/valid/circuit_0008_valid.qasm,data/buggy/circuit_0008_buggy.qasm,data/ground_truth/circuit_0008_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling H gates on qubit 2
circuit_0009,ghz,3,semantic_deviation,data/valid/circuit_0009_valid.qasm,data/buggy/circuit_0009_buggy.qasm,data/ground_truth/circuit_0009_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0010,ghz,7,physics_violation,data/valid/circuit_0010_valid.qasm,data/buggy/circuit_0010_buggy.qasm,data/ground_truth/circuit_0010_ground_truth.qasm,Physics violation: uncalibrated gate delay of 1200us exceeds qubit T2 coherence limit (~150us)
circuit_0011,ghz,6,syntax,data/valid/circuit_0011_valid.qasm,data/buggy/circuit_0011_buggy.qasm,data/ground_truth/circuit_0011_ground_truth.qasm,Syntax error: unknown keyword 'qbit_invalid' on line 3
